               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09384,            0.033605,            0.031455,             0.51199,            0.069519,             0.17005,            0.098669,            0.057741,            0.015951,              0.0156,              0.0721,              0.0031,              0.0031
                   1,            0.065062,            0.031343,            0.016761,             0.18573,             0.29814,             0.21013,             0.12354,            0.068345,              0.0121,           0.0091438,            0.043092,           0.0060921,           0.0060921
                   2,            0.063436,             0.02737,            0.013064,             0.37862,             0.48169,             0.44043,             0.25865,            0.054425,            0.010292,           0.0049707,            0.013873,            0.008873,            0.008873
                   3,            0.059938,            0.024227,           0.0096963,             0.48044,             0.70965,             0.60483,             0.24765,            0.043948,            0.011158,           0.0032678,             0.00901,             0.00901,             0.00901
                   4,            0.050696,            0.022374,           0.0068684,             0.57475,             0.81053,             0.76943,             0.45882,            0.040156,             0.01098,           0.0032088,             0.00901,             0.00901,             0.00901
                   5,            0.049353,            0.021801,           0.0068797,             0.51335,             0.82246,             0.61688,             0.44353,             0.04932,           0.0087078,           0.0032465,             0.00868,             0.00868,             0.00868
                   6,            0.045674,            0.020749,           0.0050621,             0.65407,             0.87923,              0.7819,             0.41548,            0.043775,           0.0071113,           0.0024073,             0.00835,             0.00835,             0.00835
                   7,            0.045781,            0.022012,           0.0040861,             0.73612,             0.82888,             0.86288,             0.59538,            0.036873,           0.0065129,           0.0021559,             0.00802,             0.00802,             0.00802
                   8,            0.041957,            0.020888,           0.0041836,             0.81166,             0.83614,             0.90675,             0.64445,            0.036684,           0.0062781,           0.0020365,             0.00769,             0.00769,             0.00769
                   9,            0.039533,            0.019272,           0.0040531,             0.77634,             0.87732,             0.87043,             0.56221,            0.030021,           0.0058477,           0.0015478,             0.00736,             0.00736,             0.00736
                  10,            0.035754,            0.019133,           0.0039363,             0.76827,             0.90134,              0.9014,             0.63742,            0.032305,           0.0057293,            0.001516,             0.00703,             0.00703,             0.00703
                  11,            0.035953,            0.019328,           0.0034924,             0.85598,             0.88948,             0.90533,             0.60557,            0.030665,           0.0056616,           0.0016344,              0.0067,              0.0067,              0.0067
                  12,            0.035315,            0.018089,           0.0025886,             0.71398,             0.87879,             0.88876,             0.63505,            0.032777,            0.005614,           0.0013142,             0.00637,             0.00637,             0.00637
                  13,            0.034059,            0.017093,           0.0028532,             0.85892,             0.90861,             0.92026,             0.60803,            0.036607,           0.0055089,           0.0007956,             0.00604,             0.00604,             0.00604
                  14,            0.033898,            0.019381,           0.0032052,             0.83868,             0.89867,             0.93553,             0.58252,            0.030283,            0.005274,          0.00081508,             0.00571,             0.00571,             0.00571
                  15,            0.032058,             0.01871,             0.00246,             0.94376,             0.89988,             0.94441,             0.62755,            0.028598,            0.005299,           0.0010186,             0.00538,             0.00538,             0.00538
                  16,            0.030214,            0.018477,           0.0021993,             0.95363,             0.90826,             0.95131,             0.68276,            0.028257,           0.0055972,           0.0011771,             0.00505,             0.00505,             0.00505
                  17,            0.031748,            0.018971,           0.0022455,              0.9593,             0.88889,              0.9478,             0.72859,            0.025659,            0.005105,          0.00099647,             0.00472,             0.00472,             0.00472
                  18,            0.029121,            0.017577,           0.0018481,             0.90184,             0.89741,             0.91795,             0.63578,            0.026393,           0.0053625,           0.0010174,             0.00439,             0.00439,             0.00439
                  19,            0.029436,            0.016745,           0.0025386,              0.8961,             0.93148,             0.93604,             0.68987,            0.028734,           0.0049406,          0.00078826,             0.00406,             0.00406,             0.00406
                  20,            0.028188,            0.017501,           0.0022109,             0.91616,              0.9227,              0.9381,             0.65735,            0.029932,           0.0052543,          0.00069326,             0.00373,             0.00373,             0.00373
                  21,            0.027679,            0.017506,           0.0019289,             0.91927,             0.93516,             0.94788,             0.67251,            0.029026,           0.0047723,          0.00064122,              0.0034,              0.0034,              0.0034
                  22,            0.028108,             0.01734,           0.0021282,             0.94174,             0.92759,             0.94127,             0.71531,              0.0267,           0.0047505,          0.00068797,             0.00307,             0.00307,             0.00307
                  23,            0.025799,            0.017724,           0.0017242,             0.91639,              0.9063,             0.93645,             0.63838,             0.02541,           0.0049116,          0.00084555,             0.00274,             0.00274,             0.00274
                  24,             0.02411,            0.016263,           0.0014985,              0.9174,             0.93939,             0.94358,             0.69391,            0.027539,           0.0046335,          0.00050778,             0.00241,             0.00241,             0.00241
                  25,            0.026321,            0.017909,           0.0013446,             0.93497,             0.89918,              0.9456,             0.66911,            0.026896,           0.0046795,          0.00053667,             0.00208,             0.00208,             0.00208
                  26,            0.024846,            0.016399,           0.0014212,             0.93263,             0.89418,             0.94345,             0.70984,            0.022402,           0.0047606,          0.00044774,             0.00175,             0.00175,             0.00175
                  27,            0.022884,             0.01647,           0.0011412,             0.92058,             0.92929,             0.95092,              0.7232,            0.024892,           0.0046995,          0.00038121,             0.00142,             0.00142,             0.00142
                  28,            0.023144,            0.016335,           0.0011899,             0.93536,             0.94949,             0.95613,             0.70938,            0.023383,           0.0047228,          0.00036043,             0.00109,             0.00109,             0.00109
                  29,            0.022456,            0.016118,           0.0013959,             0.94201,             0.93639,             0.93893,             0.69189,             0.02532,           0.0049066,          0.00037465,             0.00076,             0.00076,             0.00076
